timestamp	step	accuracy
1625321205605	0	0.5534999966621399
1625321338992	1	0.7490000128746033
1625321474475	2	0.8169999718666077
1625321613545	3	0.8665000200271606
1625321754758	4	0.8759999871253967
1625321893989	5	0.9014999866485596
1625322028822	6	0.9100000262260437
1625322173340	7	0.9070000052452087
1625322318905	8	0.9125000238418579
1625322463852	9	0.9210000038146973
1625322716485	10	0.9409999847412109
1625322954640	11	0.9610000252723694
1625323195577	12	0.9739999771118164
1625323431800	13	0.9735000133514404
1625323664402	14	0.9810000061988831
1625323891324	15	0.9810000061988831
1625324119362	16	0.9854999780654907
1625324346181	17	0.9894999861717224
1625324576053	18	0.9884999990463257
1625324800206	19	0.9904999732971191
1625325024682	20	0.9950000047683716
1625325249537	21	0.9925000071525574
1625325471259	22	0.9955000281333923
1625325695942	23	0.9940000176429749
1625325919217	24	0.9959999918937683
