timestamp	step	accuracy
1625290707800	0	0.5615000128746033
1625290819157	1	0.7080000042915344
1625290964767	2	0.8029999732971191
1625291101601	3	0.8514999747276306
1625291211757	4	0.8740000128746033
1625291321891	5	0.890999972820282
1625291464119	6	0.9104999899864197
1625291616041	7	0.9175000190734863
1625291757823	8	0.9129999876022339
1625291869880	9	0.9194999933242798
1625292095310	10	0.9409999847412109
1625292316995	11	0.965499997138977
1625292541539	12	0.9700000286102295
1625292758154	13	0.9764999747276306
1625292965763	14	0.9794999957084656
1625293171235	15	0.9829999804496765
1625293377758	16	0.987500011920929
1625293583934	17	0.9854999780654907
1625293790161	18	0.9894999861717224
1625293995946	19	0.9915000200271606
1625294201504	20	0.9925000071525574
1625294414089	21	0.9929999709129333
1625294680154	22	0.9950000047683716
1625294886164	23	0.9959999918937683
1625295092017	24	0.9929999709129333
