timestamp	step	loss
1625290707800	0	0.9044013619422913
1625290819157	1	0.5594542026519775
1625290964766	2	0.39907291531562805
1625291101601	3	0.3209925889968872
1625291211756	4	0.2766869366168976
1625291321883	5	0.2406596690416336
1625291464119	6	0.2113652527332306
1625291616041	7	0.19218894839286804
1625291757823	8	0.19413124024868011
1625291869879	9	0.18743468821048737
1625292095308	10	0.1404099464416504
1625292316993	11	0.09627483040094376
1625292541487	12	0.07638382911682129
1625292758154	13	0.06366169452667236
1625292965763	14	0.05543423444032669
1625293171235	15	0.040555719286203384
1625293377758	16	0.04217257723212242
1625293583934	17	0.03516913950443268
1625293790160	18	0.02799431048333645
1625293995946	19	0.02448117546737194
1625294201503	20	0.027666840702295303
1625294414088	21	0.018418122082948685
1625294680102	22	0.01651725359261036
1625294886164	23	0.011486487463116646
1625295092017	24	0.020326780155301094
